Dataset 1,,,Dataset 2,,,Dataset 3,,,Dataset 4,,,Dataset 5,
5.69529118,9.489448642,,6.83314077,2.976402326,,2.5,1.5625,,1.867274326,4.961733963,,6.621269598,4.759755097
3.841556233,0.292092421,,6.14059731,5.064592339,,2.5,1.875,,1.571883732,4.005057629,,8.048622979,1.519174335
1.244096612,6.105955868,,3.391512935,1.562524909,,2.5,2.1875,,3.204982459,5.79255359,,3.246709422,4.939420901
4.841151507,0.316903401,,2.291101602,7.234699283,,2.5,2.5,,2.5890573,5.098905464,,4.614605494,8.505919594
6.134312082,3.172484121,,0.230516035,2.269754026,,2.5,2.8125,,3.396537458,5.642951131,,4.760930953,6.741846629
2.493305805,0.54844747,,2.824354959,0.767891394,,2.5,3.125,,2.899628097,5.000724034,,1.18558191,0.323744046
1.109354834,1.000196568,,2.82469685,1.371805005,,2.5,3.4375,,3.713795058,4.246249172,,7.186492333,9.711598105
0.578564372,0.039687005,,2.537311503,8.016586108,,2.5,3.75,,3.344967305,3.696896095,,1.303052086,2.598693076
8.434646979,4.362310402,,8.548545526,3.796585279,,2.5,4.0625,,0.9033973,5.849696496,,1.804844501,4.241473256
8.600156785,5.770028636,,9.520788996,9.004426102,,2.5,4.375,,3.944113252,3.972756911,,1.276751776,0.884885516
2.835453015,5.956718445,,2.575731997,1.627440235,,2.5,4.6875,,0.736179026,3.765065212,,7.404247604,8.601659695
1.028065573,9.67468656,,5.210932693,2.892058208,,2.5,5,,0.228121946,4.469900166,,9.416981947,6.705121163
4.534169881,5.349892244,,2.116848663,2.431261748,,2.5,5.3125,,2.667180855,3.54392227,,5.938011522,9.232149767
5.430905931,5.969044208,,3.448587794,5.395725169,,2.5,5.625,,2,3.698019604,,6.446214283,9.994545244
7.788512708,9.683973674,,0.566010035,7.536191616,,2.5,5.9375,,0.601821467,4.197341914,,5.848981806,7.111196092
1.924481951,8.138191883,,5.480749742,3.212592194,,2.5,6.25,,1.141795039,3.10656447,,8.501228358,4.831280881
5.065116094,1.107071909,,9.890295564,7.832627745,,2.5,6.5625,,3.320375667,4.823003771,,3.703240937,9.27863324
4.217797776,5.414995363,,4.549762425,2.393468525,,2.5,6.875,,1.788180403,4.51905275,,5.020914553,1.579377279
7.904278592,9.708071739,,1.742722358,5.804697865,,2.5,7.1875,,2.159183494,5.541863634,,4.410503045,3.381040059
0.832475456,0.627815673,,8.432918381,8.206889644,,2.5,7.5,,2.65858318,3.192996937,,5.55914902,7.920523414
0.511429504,9.258364,,2.631581793,2.64056323,,2.5,7.8125,,4.052875571,5.025286158,,2.847097617,0.996681039
8.305974263,2.93022101,,5.875223246,0.302694888,,2.5,8.125,,1.77947664,4.670270649,,3.74028047,3.386038768
0.035369616,8.231114402,,7.463977802,6.953364235,,2.5,8.4375,,1.714777329,4.665489955,,9.35053328,8.892933757
4.546168633,0.544601749,,8.363805029,6.511188452,,2.5,8.75,,1.33830882,6.252286367,,8.419901984,6.230910356
1.573848856,5.645165475,,3.479659419,5.305830017,,2.5,9.0625,,1.970151991,5.716550291,,8.574388767,1.496311322
7.882773856,7.146738406,,6.362174555,9.095270687,,2.5,9.375,,2.519813585,6.782570403,,4.310248793,0.318875976
5.765974486,4.402097284,,7.209003867,7.201788663,,2.5,9.6875,,0.931973782,3.971729867,,0.021023922,3.817518743
0.952428025,9.68482095,,5.329838533,6.270950307,,2.5,10,,2.048079135,5.273390927,,7.130850919,5.155208292
6.022417339,1.399741349,,9.66009383,3.171157037,,2.8125,0.3125,,1.576441069,4.754863985,,8.926726076,1.040409501
5.628693256,5.98237947,,8.495984795,1.804866387,,2.8125,0.625,,3.430669423,4.474551945,,2.733001034,6.509316345
8.592593229,1.498731668,,8.119928823,0.498511683,,2.8125,0.9375,,2.179617002,5.194970103,,1.783634459,1.613098494
7.253173177,7.067713314,,0.467786344,4.226798427,,2.8125,1.25,,1.479301045,5.990045095,,2.912010304,6.411902983
6.505893336,1.572313708,,1.252477334,3.15695285,,2.8125,1.5625,,1.876144315,6.295847354,,5.790068024,7.127498597
8.732536884,2.390302629,,7.625884967,8.900727571,,2.8125,1.875,,3.265594726,3.544722515,,2.089300819,6.333086824
3.358815784,6.644777333,,3.451806027,2.893050858,,2.8125,2.1875,,1.972221919,5.82181926,,7.24561094,2.418262478
5.967462626,3.01251263,,6.196847307,7.619412527,,2.8125,2.5,,2.570311694,5.044217103,,0.437726828,6.30918811
2.6794217,0.00695576,,8.964584309,4.709909871,,2.8125,2.8125,,2.259073796,6.172227818,,6.810285786,0.727277148
0.067002593,8.718482606,,4.52448714,7.078767435,,2.8125,3.125,,0.98490937,5.435760794,,1.467719848,7.778333086
6.531834362,5.733334363,,9.797840531,3.152486933,,2.8125,3.4375,,1.166847337,3.519011075,,5.057518231,0.400609234
8.594786727,2.051083108,,4.768435274,6.000657211,,2.8125,3.75,,3.846777638,5.911639178,,6.18352851,8.367537469
4.478517902,3.852971153,,7.912755202,1.231966724,,2.8125,4.0625,,0.95599684,5.644286283,,2.343503709,7.451346274
5.736308898,6.786295084,,5.168771133,8.650393569,,2.8125,4.375,,1.256213544,4.657390626,,7.047905792,6.072965636
2.68372717,9.072646227,,4.403499466,9.724463407,,2.8125,4.6875,,1.401769941,4.980515602,,0.557399559,5.359690243
9.641647344,3.768760729,,2.447489186,7.540143076,,2.8125,5,,2.484462587,6.973589214,,6.00890803,9.783585765
3.772097844,2.289111177,,4.249871447,0.673138621,,2.8125,5.3125,,0.85077584,5.739099366,,5.9185604,7.042522524
8.144713269,2.856452956,,1.937134697,1.175522447,,2.8125,5.625,,1.167735628,5.059083454,,4.85104419,2.8904406
4.24786715,2.338966709,,5.890158551,1.278049212,,2.8125,5.9375,,2.137345071,4.612989757,,2.04993847,1.468071977
6.286918076,3.122703557,,5.945701029,5.973549837,,2.8125,6.25,,2.618616934,5.728529818,,0.407708527,8.832804967
5.035444546,2.737257256,,1.626991248,5.453987044,,2.8125,6.5625,,2.283982354,3.523640083,,6.615835944,0.943564536
1.980719467,6.189129285,,7.987156375,7.719208871,,2.8125,6.875,,1.69942324,4.119419615,,4.784600411,3.810054439
8.256559924,5.76980763,,6.472457244,1.363261429,,2.8125,7.1875,,3.656713233,3.301376792,,8.323855817,4.459042601
8.939689664,5.141826833,,2.206068506,4.24581139,,2.8125,7.5,,2.082164001,4.521895932,,8.727911741,2.951860865
4.082264164,0.800860902,,7.847862468,6.717277038,,2.8125,7.8125,,2.574498985,6.322285599,,7.333972499,3.868218499
0.60829807,2.348199413,,9.222741416,0.042370451,,2.8125,8.125,,1.854210468,6.717143971,,7.406314895,4.318263972
1.171576935,5.799575951,,5.446660665,7.959382427,,2.8125,8.4375,,0.969976591,6.771858643,,0.851356943,0.433810382
7.34762086,3.568362939,,7.112237747,6.48225822,,2.8125,8.75,,2.836432756,3.369062274,,8.524336872,6.291221307
1.704898667,6.614980566,,8.676054545,1.462815163,,2.8125,9.0625,,1.367541775,3.400481025,,8.741968967,5.913130593
9.022914232,5.587076167,,8.508135321,3.333316989,,2.8125,9.375,,2.069268019,5.254573462,,7.424359813,7.515885952
0.832260042,4.082079244,,3.525947798,7.8637132,,2.8125,9.6875,,0.735310506,4.991727111,,2.716667847,9.605756611
5.876706723,4.453907355,,9.772461623,5.281876612,,2.8125,10,,2.784740461,4.35603194,,2.89341815,9.710086934
9.091989977,3.90336928,,0.05310104,0.136225656,,3.125,0.3125,,2.707903641,3.231696433,,1.98021521,9.574088909
7.394727406,7.192477158,,5.344349883,6.002819465,,3.125,0.625,,2.127186149,6.452086929,,1.923882112,9.699397552
5.837812276,5.886945517,,1.497868119,1.447252167,,3.125,0.9375,,1.168043232,3.713723523,,8.697034513,7.159280992
5.886007978,6.860521384,,4.975679168,0.932887303,,3.125,1.25,,0.848842238,5.602429995,,1.989332414,7.616523499
0.184804605,5.176794484,,3.626809275,9.445329232,,3.125,1.5625,,1.307340745,4.465552182,,4.89730742,8.589418286
0.525776299,9.799791478,,5.547332079,9.709490781,,3.125,1.875,,1.41503113,6.060162764,,1.642184257,9.889025156
5.267220713,9.449972675,,7.724977126,4.882643463,,3.125,2.1875,,3.066167047,5.357036138,,2.583027733,8.845561749
7.5066264,5.339192389,,1.920158617,9.433063417,,3.125,2.5,,0.287934209,4.728770846,,3.81249256,7.159496881
5.572933924,8.028173772,,7.204169444,0.334612019,,3.125,2.8125,,1.277965017,5.364095821,,6.503956376,2.935197066
5.925443992,6.958890888,,6.129416357,7.743318899,,3.125,3.125,,1.583184472,4.216100353,,7.321557172,5.358566696
1.099445265,6.790047485,,6.615214542,7.90868972,,3.125,3.4375,,3.624536205,3.881854537,,0.99710039,1.481614739
5.81236225,5.017692524,,3.335617439,4.337276762,,3.125,3.75,,0.778278345,5.060918253,,8.278793499,3.066907076
1.169461972,9.631751643,,9.91752866,2.4238542,,3.125,4.0625,,5.292928184,9.246287959,,8.773902422,9.127932974
1.711883369,7.194409521,,4.305982883,1.76257171,,3.125,4.375,,7.130104312,7.168836831,,3.731497928,3.944452675
5.467480873,8.633894011,,3.262465369,6.573150984,,3.125,4.6875,,6.038806516,7.746455813,,7.942736629,5.52283737
2.898978071,2.872933287,,1.816574706,4.061017298,,3.125,5,,6.683396305,9.327815598,,6.682670161,8.954894659
6.221670626,5.375519588,,0.655013626,7.053162895,,3.125,5.3125,,7.637844043,6.182195087,,4.234881317,9.75593324
5.593562995,9.997716417,,3.190569011,0.141783801,,3.125,5.625,,6.863643777,1.238076925,,6.682668075,7.068475861
1.433834091,0.831535212,,2.318028058,0.212861565,,3.125,5.9375,,7.697109295,9.058334518,,3.724646572,3.036249884
0.325431484,1.490304347,,6.984914128,0.697945447,,3.125,6.25,,6.357505357,9.877642878,,5.333375477,8.04080601
3.852463595,0.437666102,,7.372553544,5.551825528,,3.125,6.5625,,6.058936595,7.837009803,,9.873982896,0.12511904
3.470890604,2.875722686,,1.683757307,6.381896471,,3.125,6.875,,7.390623207,9.932617458,,7.206045171,5.892532505
2.434121837,5.023490019,,1.64932653,5.410449717,,3.125,7.1875,,5.755591753,9.996920349,,1.384176113,8.796795134
3.46640301,6.594150052,,6.536688136,5.560742845,,3.125,7.5,,5.120112538,8.270660977,,4.538414014,3.262432729
7.279098555,5.038720001,,9.797866208,5.54322114,,3.125,7.8125,,6.177485237,8.662123743,,3.418562235,3.937486269
8.907851558,9.863395225,,3.841739025,6.855860387,,3.125,8.125,,7.493908847,7.947070374,,4.116407823,9.697631706
8.157396145,6.586602496,,6.584554451,0.175672164,,3.125,8.4375,,7.337170325,8.588693311,,9.871796817,8.291029816
3.752235988,9.948834,,4.895237564,9.671057003,,3.125,8.75,,7.220499787,0.820495697,,5.408625628,4.745400455
4.681491043,1.805615478,,6.898661669,8.650746098,,3.125,9.0625,,8.004350826,9.306326203,,3.343796581,2.463524762
0.635701118,6.629840909,,7.118524993,8.677428089,,3.125,9.375,,5.928484462,9.441991575,,0.329251582,8.47756665
6.056940752,3.988906258,,1.576697995,6.809974244,,3.125,9.6875,,6.879056251,8.708770326,,8.551939774,0.591667333
3.471964646,6.398523033,,7.871233923,8.897446462,,3.125,10,,5.266315086,9.487434701,,9.830947335,2.298316381
7.922692638,9.773194814,,4.266057791,8.025917625,,3.4375,0.3125,,6.360146,9.524045003,,4.593289879,4.672203266
9.04416943,4.45395489,,4.933330373,6.982105385,,3.4375,0.625,,7.150108487,9.464166623,,5.836494358,3.684936975
4.302788781,9.854952773,,6.818962162,0.160650632,,3.4375,0.9375,,6.517664195,8.770358001,,3.069168918,7.223497942
8.44388209,0.82399978,,1.353275229,0.143498566,,3.4375,1.25,,6.961618815,9.757366299,,9.753771978,5.821460389
1.028639367,5.456729346,,9.6017465,6.488253493,,3.4375,1.5625,,3.827427568,8.307401178,,4.860305672,1.171163236
6.214212229,4.894567869,,9.44852342,8.507209575,,3.4375,1.875,,7.352386424,8.624082265,,1.689285328,4.085785863
3.856623238,4.719367707,,1.564106886,7.395302575,,3.4375,2.1875,,8.880848967,9.852352313,,6.901124267,2.130269978
4.347847431,4.700316142,,8.597026989,5.091374557,,3.4375,2.5,,5.859431917,0.080266538,,2.563289597,3.640551272
2.866701895,7.982516066,,0.969447346,2.244311751,,3.4375,2.8125,,9.687458439,9.493765044,,3.024000029,0.967068081
3.205668654,5.546440056,,7.935209452,0.678284436,,3.4375,3.125,,7.882738104,9.57032477,,9.403837459,7.894233655
8.905007913,2.76072263,,1.954502709,5.284902256,,3.4375,3.4375,,4.988562155,9.96403577,,3.968168537,8.993372298
2.087447682,4.307937591,,8.157406863,0.471996288,,3.4375,3.75,,6.211501678,8.227950398,,2.743250696,5.275073766
4.287625147,9.528104918,,4.269061292,7.824282222,,3.4375,4.0625,,6.908737708,9.596925259,,9.571082582,6.938156878
3.80567583,8.208537058,,9.562958721,7.164161836,,3.4375,4.375,,5.562082479,9.43508627,,1.823928632,5.785275799
9.547026473,9.618466329,,6.739494199,8.095891499,,3.4375,4.6875,,6.759241278,9.644361351,,0.000921953,6.960793827
5.965181543,9.619221675,,6.066957613,1.581276415,,3.4375,5,,6.639144605,0.12032419,,6.218808767,6.289568611
1.261826518,4.486564318,,0.627301845,5.402863658,,3.4375,5.3125,,6.943804112,8.950289795,,0.360570121,7.152145707
8.307515175,0.667176124,,5.338072137,7.740010605,,3.4375,5.625,,5.608575381,0.676819165,,6.672038305,9.469642748
7.932370921,8.428300282,,1.880076437,2.103578576,,3.4375,5.9375,,8.300827202,9.278508902,,9.744559582,3.422979672
5.865809196,7.793642002,,9.89029956,2.781955797,,3.4375,6.25,,6.307794691,7.724314934,,9.36229014,7.598146009
4.226979378,2.906112671,,4.896829688,7.058241468,,3.4375,6.5625,,8.917559186,0.022492284,,9.420085212,9.492880444
6.554700728,0.768251567,,0.809169648,2.780312148,,3.4375,6.875,,6.507270588,7.804996204,,9.524060378,5.238510817
7.102245422,9.133155493,,4.283000587,2.105000636,,3.4375,7.1875,,5.385635563,1.159494261,,5.023783518,2.905065522
8.890605898,6.995960871,,7.48045249,8.622100096,,3.4375,7.5,,7.904287483,9.573887293,,4.462257851,5.571778958
1.915901503,0.720805679,,3.279172971,3.153507535,,3.4375,7.8125,,6.982437146,7.999599899,,4.88198673,9.569233884
0.367636577,0.193462594,,2.067275419,8.085350314,,3.4375,8.125,,6.283654504,0.354428431,,4.023036095,1.96892258
3.510115416,5.785600047,,5.908444905,1.088509831,,3.4375,8.4375,,8.048951605,0.061884108,,6.04083579,0.56533633
4.737184035,3.304827759,,6.124948164,5.66674166,,3.4375,8.75,,7.581980831,8.594731059,,4.039737362,7.667455997
8.944296999,2.161319113,,8.395943633,7.650328611,,3.4375,9.0625,,7.549820392,2.975683375,,6.55592595,4.129254268
5.692230928,2.881394923,,6.542208806,9.584839998,,3.4375,9.375,,6.953679081,9.423514903,,2.137522745,1.348121579
0.553177538,4.480279369,,1.762592231,9.320150764,,3.4375,9.6875,,7.22868453,9.634289515,,1.124827115,9.056790841
6.492451179,9.095954403,,5.356810345,3.000484564,,3.4375,10,,4.603465691,9.878132536,,1.790961288,7.827661978
8.440292669,7.736061231,,0.757627467,0.425690688,,3.75,0.3125,,5.860731356,9.685762882,,5.456200946,3.054965194
4.692474682,1.534071539,,0.403474135,9.381610519,,3.75,0.625,,7.294826832,9.690118099,,1.412878267,8.017260614
8.245292565,9.680974645,,3.941620317,9.82627408,,3.75,0.9375,,7.951722083,9.472250148,,3.958388569,3.98543326
0.395938925,0.998318297,,9.623570349,7.371672132,,3.75,1.25,,7.285362922,9.678176687,,4.688229185,3.229340782
5.059791712,8.007054453,,0.668716484,8.477399352,,3.75,1.5625,,6.505762724,0.272356543,,0.438036019,8.214143165
1.054826215,8.094650588,,2.44909921,0.365316617,,3.75,1.875,,6.32614206,8.172086099,,2.98281764,4.463424854
1.143188139,3.961298974,,4.734789427,8.920702674,,3.75,2.1875,,7.697477863,0.464306856,,2.057827807,2.60423816
4.37934106,7.918350719,,8.721682511,0.535427192,,3.75,2.5,,7.201148334,8.589925718,,0.333048346,0.574573355
8.742814964,0.941862296,,1.727211388,8.32818383,,3.75,2.8125,,7.781656842,1.049762121,,7.155234744,9.992777353
2.095723777,1.060658027,,7.723725996,1.368278756,,3.75,3.125,,6.590201883,7.192849976,,0.98938056,8.727370297
7.351308733,3.327501851,,3.751317699,7.191143716,,3.75,3.4375,,8.433895221,9.542416732,,3.620543077,8.88378637
8.61827525,1.509314354,,5.445294882,6.983902142,,3.75,3.75,,5.932382181,8.531084476,,6.833598579,5.825292748
1.058169243,0.836692802,,6.43852983,0.809970925,,3.75,4.0625,,6.082259834,9.231040593,,9.472016974,7.710832921
7.278799821,2.083538094,,7.132842033,7.623326932,,3.75,4.375,,6.902731342,9.238541368,,8.053898173,5.756811894
0.369964355,2.537256794,,3.80630963,9.869231738,,3.75,4.6875,,7.278671641,9.808087024,,0.537485025,7.824067785
4.974637753,5.623326814,,6.973166705,9.12974557,,3.75,5,,7.761515799,9.80351406,,1.067164061,4.617334594
0.723090886,5.126444851,,7.536571736,4.915838959,,3.75,5.3125,,7.596293501,0.019958698,,6.422509736,2.939217689
3.257619332,8.964082693,,6.844262646,9.352295111,,3.75,5.625,,6.420297315,9.027112694,,8.622001915,5.689391213
7.118767324,5.136231353,,5.2425466,0.823536437,,3.75,5.9375,,7.866725159,7.722336614,,1.633904856,8.662087907
3.268755246,0.547662521,,1.938810762,5.393156022,,3.75,6.25,,6.174211319,9.809733955,,1.847941932,6.281339956
7.022055259,4.837498456,,9.330499978,8.934584598,,3.75,6.5625,,7.581329702,9.862465227,,9.539424899,6.209312756
6.983082986,0.637199641,,7.374509495,7.14148646,,3.75,6.875,,8.536098197,9.031518342,,5.664669558,4.408710003
4.648106025,5.987069946,,5.004505604,6.7874627,,3.75,7.1875,,7.29957664,9.534574253,,5.644535822,8.147833209
9.434902832,5.91075341,,7.022912926,5.773259618,,3.75,7.5,,6.053671768,7.221746303,,4.924066796,4.558734047
5.695314973,8.268865197,,0.223449579,3.033669087,,3.75,7.8125,,9.467081147,8.929843822,,0.467586138,4.002702748
3.93863348,0.011413558,,8.141667633,1.297065776,,3.75,8.125,,5.822899721,8.773437795,,8.53211205,5.497998805
9.703525139,5.094716771,,2.603807841,2.741471905,,3.75,8.4375,,7.356725801,9.121149459,,6.239388284,1.047186742
7.915217391,6.589815257,,4.420479106,1.907101451,,3.75,8.75,,6.820825257,7.918868021,,1.503237866,7.430963773
5.757748115,7.967821593,,7.102729577,2.165096083,,3.75,9.0625,,6.241199109,8.38117124,,1.909005698,1.626583321
9.261428148,5.672574489,,6.443342743,6.481304629,,3.75,9.375,,7.184202607,9.468124561,,5.083242938,2.155521345
0.370713644,0.041916658,,7.802894999,9.419516685,,3.75,9.6875,,7.525244658,9.120930448,,1.86284407,0.066144995
8.949821328,6.308368753,,6.732737835,6.605984303,,3.75,10,,8.172292923,8.862348115,,7.787124871,6.026289238
4.360860405,4.040470981,,2.564478311,9.74985852,,4.0625,0.3125,,5.927604276,6.988214292,,3.366382977,7.142010619
5.628702004,3.097293611,,6.744031782,8.285322029,,4.0625,0.625,,7.873529892,0.316107114,,8.573190429,8.244173126
7.628011305,4.934543355,,4.626886047,3.274822604,,4.0625,0.9375,,8.59789269,9.086337854,,6.47281959,7.961915867
4.942488531,0.149114724,,9.847743318,7.757176806,,4.0625,1.25,,6.75775473,6.102689863,,6.775111322,7.130692938
1.622150403,8.272962928,,0.566591819,5.915174968,,4.0625,1.5625,,6.746851373,0.230574725,,8.867999099,8.579852172
1.813416661,4.051763629,,3.915994821,6.481091565,,4.0625,1.875,,7.231346654,8.407967221,,7.846063849,3.042480454
2.127998461,4.215975599,,5.170826635,1.518858975,,4.0625,2.1875,,6.15090546,8.322405812,,5.223311203,5.729838356
0.16404374,2.757964445,,0.927365041,9.429751031,,4.0625,2.5,,8.424340912,1.124519167,,2.936267192,4.613121271
3.963307561,5.074950073,,0.090728449,9.916290619,,4.0625,2.8125,,8.33415645,7.564004394,,4.636112414,9.915677956
8.353007773,6.113130044,,8.902264133,8.263331782,,4.0625,3.125,,8.297759177,0.43204164,,9.741495423,8.662706667
5.040696265,4.725239446,,3.962711817,8.869024487,,4.0625,3.4375,,7.414168594,7.854094362,,1.364449808,0.19247228
4.852611587,5.181152193,,4.558276494,7.823625609,,4.0625,3.75,,6.441140571,0.148941214,,9.945124932,6.331188177
8.991267691,2.818040671,,7.58927132,3.445579462,,4.0625,4.0625,,6.865630013,9.240411954,,3.165333587,6.213602162
1.58382806,0.250669454,,5.481189739,0.440326017,,4.0625,4.375,,7.379155342,0.405725431,,8.503633965,6.080158438
2.711909306,1.651733387,,8.812815968,2.098187555,,4.0625,4.6875,,9.160459579,9.948125925,,1.94115265,2.994074219
2.794574552,7.773340048,,6.942066113,8.9998854,,4.0625,5,,6.094055373,0.247842128,,3.756016478,6.897986984
9.122991102,7.613077381,,1.32770723,3.344108787,,4.0625,5.3125,,9.047725845,8.082800829,,4.566416746,2.79977393
5.676572392,1.862631917,,4.46601988,1.034208153,,4.0625,5.625,,6.546890915,9.918058593,,7.185054338,0.144480019
5.894403035,4.684966195,,0.763528385,6.262706606,,4.0625,5.9375,,7.340404939,9.357608302,,4.976716567,4.67863734
8.682847693,5.49380506,,6.771781676,5.901252038,,4.0625,6.25,,8.27430837,0.842570442,,5.597556577,8.64173161
8.576755344,3.863707309,,1.345121572,6.329173931,,4.0625,6.5625,,7.658462787,8.671364124,,8.399000428,8.040878241
3.861186165,1.400330339,,8.757855299,6.155631025,,4.0625,6.875,,5.314098634,8.166335772,,1.329194683,7.296628327
1.603620288,2.703234275,,9.699613463,9.160598288,,4.0625,7.1875,,8.236566059,8.977130974,,0.225435043,0.361337447
5.640668389,4.587341398,,3.049622385,2.166827322,,4.0625,7.5,,7.080495936,7.196716783,,1.48161116,3.195907831
5.761324532,7.562190784,,3.707265087,1.501701582,,4.0625,7.8125,,5.401623595,8.588458787,,6.337998308,5.687556071
5.115662984,8.923208863,,3.256784711,2.447699379,,4.0625,8.125,,7.480936413,7.829731246,,9.619730226,9.370100537
6.858398678,3.416507973,,2.510454397,3.103863956,,4.0625,8.4375,,7.061920888,8.687952369,,4.639185433,9.792493444
3.651330053,2.848795678,,3.493587121,0.814055239,,4.0625,8.75,,6.93057799,9.766754566,,8.281730723,6.286662049
8.377590468,7.089120633,,6.587848248,7.549690855,,4.0625,9.0625,,8.097225315,0.420698797,,5.638062413,4.580076212
2.130649828,7.71656839,,5.07045904,9.555025125,,4.0625,9.375,,6.425751232,8.86197956,,7.059076432,0.63567549
6.298386805,1.312760714,,5.893884281,2.57387997,,4.0625,9.6875,,6.824082469,9.591158744,,5.842524823,3.259326641
5.997869097,6.972958363,,5.433908393,4.511585922,,4.0625,10,,6.701470322,0.623572307,,6.898210274,8.71359462
0.212483086,1.282003747,,4.396150125,0.134131571,,4.375,0.3125,,6.040739932,7.918643179,,1.776501342,5.381820457
3.19123308,2.669951763,,5.678000567,6.896419235,,4.375,0.625,,7.352551429,5.709707042,,2.565844738,0.476761142
9.210442951,2.414493216,,4.442576044,1.240483824,,4.375,0.9375,,6.810547364,7.628633607,,2.753554585,9.407458887
5.993906745,1.912492717,,7.418550892,1.032897287,,4.375,1.25,,8.323149893,0.19821445,,9.524227942,3.855933118
2.788672011,6.834193424,,6.996020091,2.624966176,,4.375,1.5625,,7.558388884,7.225886618,,5.386462711,2.023812752
7.088010964,1.908250668,,6.18360204,2.582248609,,4.375,1.875,,5.684996124,6.8730835,,5.790834037,8.059145953
5.505962182,0.365691833,,0.327047758,1.392067339,,4.375,2.1875,,8.18047478,8.993550996,,1.522857262,7.704358449
3.483262782,5.888456699,,0.992215896,6.873423475,,4.375,2.5,,7.118660972,0.606495861,,9.890857857,6.804248173
6.554867337,9.327446959,,9.774517422,8.46112729,,4.375,2.8125,,5.919669874,8.857462317,,8.953854691,9.813035686
0.613216271,4.323141069,,8.904842374,8.372091242,,4.375,3.125,,8.554073531,9.571397095,,4.428035252,6.923259052
0.303817892,2.126031119,,5.468853745,9.151559272,,4.375,3.4375,,7.136078148,7.592226109,,8.091030848,5.692594848
3.436307167,0.506569273,,1.120229706,6.241457187,,4.375,3.75,,6.926862733,8.999859576,,0.565643197,6.149893317
2.073204048,0.382035397,,3.367834516,5.863156309,,4.375,4.0625,,8.568270169,9.924357105,,3.251567735,6.734193021
4.67434971,1.664771551,,1.881467285,8.214901579,,4.375,4.375,,8.18570286,8.300415629,,0.049578388,1.871876466
3.278171874,7.48573613,,0.11800853,1.682483007,,4.375,4.6875,,6.181646774,0.54382215,,6.311516611,4.183699404
5.783383133,8.564096054,,8.513758265,6.096532469,,4.375,5,,6.721762852,9.630402706,,5.94257774,1.819637779
5.211237794,8.345084857,,5.10062885,2.399090934,,4.375,5.3125,,7.58267943,0.167168727,,5.493905275,9.380182248
8.967795039,2.708650893,,1.783425871,3.574123984,,4.375,5.625,,7.350654467,8.848406982,,2.236288838,0.957932421
6.7372337,1.127314478,,6.234377249,8.765993983,,4.375,5.9375,,7.918340729,8.375641226,,7.335276068,0.448161371
4.99263888,5.777966667,,3.354935131,5.112429441,,4.375,6.25,,6.45182677,0.020549046,,5.768110464,5.046845374
3.435699749,4.211223215,,0.697499283,8.997698253,,4.375,6.5625,,6.717482503,9.773072888,,8.458528626,4.861480983
2.362038687,2.863216519,,2.138281897,8.719746624,,4.375,6.875,,4.992584576,9.44593698,,3.269951439,9.278516962
2.945335795,1.937330806,,4.02460942,8.679410643,,4.375,7.1875,,5.307121953,8.01936562,,6.612987783,2.837933629
3.528979713,8.231089305,,4.039666507,6.180657789,,4.375,7.5,,6.935686644,0.175903682,,9.015153731,4.075627297
2.579705958,2.421888315,,3.758300494,5.291971012,,4.375,7.8125,,6.776516585,9.507681129,,8.987796959,6.542628443
6.200399063,2.390927196,,4.786704432,8.927136077,,4.375,8.125,,4.541440379,7.217353894,,3.821360727,3.621475919
4.153824597,8.847112797,,1.43192863,1.399754694,,4.375,8.4375,,7.77056386,1.048687362,,8.784522012,0.165053904
4.292180237,0.418501366,,4.616736341,0.896383991,,4.375,8.75,,6.833668605,9.230868091,,3.298956125,3.864561886
9.370076407,5.884454101,,6.127413217,1.589474155,,4.375,9.0625,,6.697657363,8.853251899,,6.840098306,7.407152326
7.540811695,6.529724423,,2.291536603,2.879573309,,4.375,9.375,,6.883263967,9.724433234,,2.598983552,8.702275022
9.041252391,8.138016039,,3.128568666,3.251400412,,4.375,9.6875,,5.607277006,9.676698339,,6.590861585,5.706032177
7.877742492,2.589233293,,3.533849998,4.296406447,,4.375,10,,7.783840547,1.585348335,,9.428528049,9.967003585
3.627968626,8.268961471,,5.45577341,6.417896209,,4.6875,0.3125,,8.484993123,9.852837162,,7.535031795,5.905468389
2.718533713,7.3238738,,9.337856191,7.556986869,,4.6875,0.625,,6.785874981,0.004622843,,0.708625127,3.293142759
9.582830627,4.510114238,,5.584911801,1.359154482,,4.6875,0.9375,,7.16074706,9.12293392,,8.894761238,9.46033282
1.283217847,5.05972498,,1.009283901,0.817424624,,4.6875,1.25,,6.106870229,9.327698084,,7.759917474,2.240547107
1.985061183,5.94294938,,8.896945925,3.959144615,,4.6875,1.5625,,5.372816731,0.964327506,,7.82287874,4.162545458
5.837296166,9.435433258,,4.694484615,6.206688721,,4.6875,1.875,,7.117567858,8.255095085,,9.912168428,7.252105044
7.426724422,8.022332108,,8.673699204,8.339419175,,4.6875,2.1875,,7.296940153,9.673556074,,0.173613227,8.458406558
4.841907959,8.076776132,,5.477873529,2.628698347,,4.6875,2.5,,7.547454869,9.144551415,,5.808971322,4.72728311
7.377401214,7.573764853,,1.487299504,7.445666128,,4.6875,2.8125,,6.554604085,0.542866245,,9.629999951,0.683303458
